country,region,total_15over,male_15over,female_15over
tunisia,gouvernorat de Tunis,837597,415092,422505
tunisia,gouvernorat de Ariana,439378,221054,218324
tunisia,gouvernorat de Ben Arous,484240,240563,243677
tunisia,gouvernorat de Manouba,292810,147153,145657
tunisia,gouvernorat de Nabeul,596412,300002,296410
tunisia,gouvernorat de Zaghouan,132349,65147,67202
tunisia,gouvernorat de Bizerte,433289,216521,216768
tunisia,gouvernorat de Beja,234922,116117,118805
tunisia,gouvernorat de Jendouba,311827,149906,161921
tunisia,gouvernorat de du Kef,190564,93388,97176
tunisia,gouvernorat de Siliana,167706,80799,86907
tunisia,gouvernorat de Sousse,505579,250979,254600
tunisia,gouvernorat de Monastir,403251,198856,204395
tunisia,gouvernorat de Mahdia,297933,141340,156593
tunisia,gouvernorat de Sfax,724678,361406,363272
tunisia,gouvernorat de Kairouan,414094,199031,215063
tunisia,gouvernorat de Kasserine,318062,155691,162371
tunisia,gouvernorat de Sidi Bouzid,319933,157510,162423
tunisia,gouvernorat de Gabes,283098,136721,146377
tunisia,gouvernorat de Medenine,358126,171744,186382
tunisia,gouvernorat de Tataouine,112146,51798,60348
tunisia,gouvernorat de Gafsa,255819,125038,130781
tunisia,gouvernorat de Tozeur,80157,39022,41135
tunisia,gouvernorat de Kebili,118261,57854,60407
