governorate,over_15_population,population,housing,households
Tunis,837597,1056247,343348,287412
Ariana,439378,576088,180575,151397
Ben Arous,484240,631842,193050,163811
Manouba,292810,379518,103254,95405
Nabeul,596412,787918,257580,202554
Zaghouan,132349,176945,48363,42835
Bizerte,433289,568219,173508,142532
Beja,234922,303032,85235,76827
Jendouba,311827,401477,122576,103042
du Kef,190564,243156,73632,63708
Siliana,167706,223087,60471,55028
Sousse,505579,674818,219373,171114
Monastir,403251,548828,164687,133595
Mahdia,297933,410812,124958,95466
Sfax,724678,955421,290872,242740
Kairouan,414094,570436,154586,129902
Kasserine,318062,439243,105980,95292
Sidi Bouzid,319933,429912,110372,93552
Gabes,283098,374300,107094,84783
Medenine,358126,479520,164871,113277
Tataouine,112146,149453,45492,30887
Gafsa,255819,337331,89946,77964
Tozeur,80157,107912,29683,25566
Kebili,118261,156961,40395,34285
